episode,ticker,strategy,return,ending_capital,ann_vol,sharpe,max_drawdown,active_day_hit,exposure,trades,stops
2018-06 to 2020-05,CINF,Core MA + ATR,0.09129165477224821,109129.16547722481,0.2787672140704714,0.29775601378985617,-0.23333523365857767,0.5683453237410072,0.2151394422310757,31,1
2018-06 to 2020-05,CINF,Enhanced short/order-book,-0.2231253746792936,77687.46253207064,0.16174960481298334,-0.6990889489124558,-0.25590347627981636,0.5825242718446602,0.1553784860557769,25,0
2018-06 to 2020-05,PGR,Core MA + ATR,-0.12626587548714097,87373.4124512859,0.1280175343316172,-0.4645563876947736,-0.16587657878772122,0.49230769230769234,0.21314741035856574,26,3
2018-06 to 2020-05,PGR,Enhanced short/order-book,0.038304750124207754,103830.47501242078,0.11130043301070759,0.22583679963791498,-0.10811309676381053,0.550561797752809,0.1454183266932271,17,2
2018-06 to 2020-05,AIZ,Core MA + ATR,-0.14493519119092513,85506.48088090749,0.25828357445956296,-0.18178468235082326,-0.3431072155608621,0.4778761061946903,0.1852589641434263,24,4
2018-06 to 2020-05,AIZ,Enhanced short/order-book,-0.16573088050267482,83426.91194973252,0.08990904424040518,-0.9660466029567667,-0.2242695621675811,0.48717948717948717,0.12350597609561753,19,3
2018-06 to 2020-05,AIG,Core MA + ATR,0.46920763036480717,146920.76303648073,0.36931954414415424,0.700530286803701,-0.4028954636939107,0.5,0.20119521912350596,19,3
2018-06 to 2020-05,AIG,Enhanced short/order-book,0.7244127329558352,172441.27329558352,0.3388043195573983,0.9667735649193253,-0.2149668703992238,0.4939759036144578,0.14342629482071714,13,3
2018-06 to 2020-05,BAP,Core MA + ATR,0.07386079125537348,107386.07912553735,0.22053240098929397,0.27067348093135685,-0.19765494630734215,0.4580152671755725,0.20318725099601595,32,4
2018-06 to 2020-05,BAP,Enhanced short/order-book,0.09711853761508604,109711.85376150861,0.21580615798037267,0.32164870838539683,-0.17630058650714275,0.4174757281553398,0.16533864541832669,23,4
2018-06 to 2020-05,ALL,Core MA + ATR,-0.269065281524687,73093.4718475313,0.17972807904975466,-0.7867334867141826,-0.26934574089554986,0.4755244755244755,0.21314741035856574,38,2
2018-06 to 2020-05,ALL,Enhanced short/order-book,-0.2630173658629654,73698.26341370346,0.08953857891759884,-1.6648584695029145,-0.2630173658629654,0.4631578947368421,0.1294820717131474,31,1
2018-06 to 2020-05,HIG,Core MA + ATR,-0.0627291629733483,93727.08370266517,0.3682963022540895,0.09946403224295096,-0.47527142760512076,0.5416666666666666,0.2350597609561753,29,3
2018-06 to 2020-05,HIG,Enhanced short/order-book,-0.03495770756943384,96504.22924305662,0.3566942077244443,0.13184011433243983,-0.43738375278221975,0.5267857142857143,0.18127490039840638,23,2
2023-04 to 2024-08,ROOT,Core MA + ATR,-0.11089128131288717,88910.87186871129,0.5463438836143785,0.11883802260573649,-0.5256379460661992,0.4939759036144578,0.20168067226890757,16,5
2023-04 to 2024-08,ROOT,Enhanced short/order-book,-0.41989486391572794,58010.51360842721,0.3524305364286699,-0.9111588216875951,-0.5256379460661992,0.46774193548387094,0.1400560224089636,15,3
2023-04 to 2024-08,PLMR,Core MA + ATR,-0.2171636340816171,78283.6365918383,0.18183265515131827,-0.8591885167388622,-0.2770437100054123,0.46464646464646464,0.21288515406162464,26,3
2023-04 to 2024-08,PLMR,Enhanced short/order-book,-0.04332583892387021,95667.41610761298,0.15172876829672488,-0.13070684163321353,-0.13103101304186382,0.49019607843137253,0.11204481792717087,13,2
2023-04 to 2024-08,KNSL,Core MA + ATR,-0.0997032261069789,90029.67738930212,0.18997161512927926,-0.29520169848456695,-0.2147379360708932,0.5288461538461539,0.24649859943977592,22,5
2023-04 to 2024-08,KNSL,Enhanced short/order-book,-0.18118606141643534,81881.39385835646,0.18078468560865352,-0.6894826032233274,-0.25806743446643565,0.5056179775280899,0.20728291316526612,20,4
